	Price	Distance	Car	BuildingArea	YearBuilt
2	1035000.0	2.5	0.0	79.0	1900.0
4	1465000.0	2.5	0.0	150.0	1900.0
6	1600000.0	2.5	2.0	142.0	2014.0
11	1876000.0	2.5	0.0	210.0	1910.0
14	1636000.0	2.5	2.0	107.0	1890.0
18	1097000.0	2.5	2.0	75.0	1900.0
24	1350000.0	2.5	2.0	190.0	2005.0
25	750000.0	2.5	1.0	94.0	2009.0
30	1310000.0	2.5	2.0	97.0	1890.0
32	1200000.0	2.5	1.0	110.0	1880.0
35	1176500.0	2.5	1.0	105.0	1890.0
37	890000.0	2.5	1.0	73.0	1985.0
38	1330000.0	2.5	2.0	135.0	1900.0
42	500000.0	2.5	1.0	60.0	1970.0
43	1100000.0	2.5	1.0	135.0	2013.0
44	1315000.0	2.5	0.0	85.0	1900.0
49	1447500.0	2.5	1.0	174.0	2012.0
51	1135000.0	2.5	2.0	128.0	1920.0
56	1290000.0	2.5	1.0	124.0	1950.0
57	470000.0	2.5	1.0	50.0	2013.0
58	1180000.0	2.5	0.0	91.0	1900.0
59	1195000.0	2.5	1.0	128.0	1998.0
61	1012500.0	2.5	0.0	82.0	1900.0
63	1030000.0	2.5	1.0	81.0	1930.0
66	840000.0	13.5	1.0	225.0	2016.0
67	730000.0	13.5	1.0	145.0	1965.0
68	770000.0	13.5	1.0	145.0	1965.0
70	603000.0	13.5	1.0	84.0	1950.0
71	700000.0	13.5	2.0	134.0	2009.0
72	600000.0	13.5	1.0	116.0	1980.0
73	500000.0	13.5	1.0	86.0	2011.0
81	725000.0	13.5	2.0	186.0	1980.0
82	450000.0	13.5	1.0	90.0	2015.0
83	515000.0	13.5	1.0	73.0	2013.0
85	530000.0	13.5	1.0	94.0	2012.0
86	895000.0	13.5	6.0	133.0	1975.0
88	805000.0	13.5	1.0	105.0	1950.0
90	752000.0	13.5	1.0	130.0	1993.0
98	700000.0	13.5	2.0	133.0	2009.0
100	830000.0	13.5	2.0	113.0	1960.0
103	675000.0	13.5	1.0	100.0	1975.0
104	1042000.0	13.5	5.0	174.0	1950.0
106	773000.0	13.5	4.0	309.0	1980.0
108	810000.0	13.5	2.0	192.0	1980.0
109	715000.0	13.5	2.0	126.0	1995.0
112	540000.0	13.5	1.0	101.0	2010.0
113	825000.0	13.5	1.0	102.0	1960.0
114	685000.0	13.5	1.0	113.0	1975.0
129	900000.0	13.5	3.0	146.0	1975.0
133	1275000.0	3.3	0.0	82.0	1900.0
135	2850000.0	3.3	0.0	198.0	1890.0
136	1850000.0	3.3	0.0	133.0	1890.0
138	1436000.0	3.3	0.0	81.0	1900.0
142	2300000.0	3.3	1.0	180.0	1880.0
145	1800000.0	3.3	1.0	159.0	1996.0
147	2120000.0	3.3	1.0	107.0	1900.0
149	1800000.0	3.3	1.0	122.0	1900.0
152	2615000.0	3.3	1.0	181.0	1880.0
155	1370000.0	3.3	2.0	85.0	2000.0
159	1322500.0	3.3	0.0	98.0	1890.0
161	1562500.0	3.3	0.0	83.0	1890.0
162	2000000.0	3.3	1.0	147.0	1900.0
166	3010000.0	3.3	0.0	146.0	1890.0
168	2800000.0	3.3	1.0	254.0	1910.0
172	2100000.0	3.3	1.0	123.0	1900.0
176	2000000.0	3.3	1.0	131.0	1890.0
177	442500.0	3.3	0.0	34.0	1970.0
178	4735000.0	3.3	1.0	207.0	1910.0
183	2140000.0	3.3	1.0	145.0	1880.0
186	980000.0	3.3	0.0	68.0	1890.0
191	1740000.0	3.3	2.0	134.0	1890.0
193	985000.0	3.3	0.0	54.0	1900.0
195	2000000.0	6.4	4.0	263.0	1930.0
201	1717500.0	6.4	1.0	203.0	1925.0
202	2840000.0	6.4	4.0	165.0	1910.0
204	525500.0	6.4	1.0	60.0	1960.0
205	805000.0	6.4	3.0	140.0	2004.0
214	1830000.0	6.4	2.0	112.0	1970.0
215	2100000.0	6.4	2.0	271.0	2008.0
216	865000.0	6.4	1.0	131.0	2010.0
217	390000.0	6.4	1.0	60.0	1960.0
219	512000.0	6.4	1.0	61.0	1965.0
226	1900000.0	6.4	2.0	272.0	1930.0
229	1950000.0	6.4	3.0	210.0	1920.0
230	520000.0	13.8	1.0	242.0	2015.0
231	1525000.0	13.8	3.0	268.0	2005.0
232	720000.0	13.8	2.0	125.0	2013.0
233	1120000.0	13.8	2.0	120.0	1930.0
235	1780000.0	13.8	6.0	220.0	1962.0
236	630000.0	13.8	2.0	94.0	1955.0
238	660000.0	13.8	1.0	123.0	1955.0
241	580000.0	13.8	1.0	93.0	1988.0
242	1335000.0	13.8	4.0	22.0	1953.0
244	510000.0	13.8	1.0	76.0	1990.0
246	425000.0	13.8	2.0	57.0	1980.0
249	391000.0	13.8	1.0	65.0	1965.0
251	845000.0	13.8	2.0	130.0	1950.0
255	730000.0	13.8	1.0	141.0	2014.0
259	447000.0	13.8	1.0	77.0	1990.0
261	678000.0	13.8	2.0	87.0	1950.0
262	580000.0	13.8	1.0	76.0	2013.0
264	840000.0	13.8	2.0	136.0	1965.0
269	577000.0	13.8	1.0	113.0	2007.0
276	857000.0	13.8	1.0	100.0	1950.0
278	730000.0	13.8	1.0	3.0	2014.0
282	535600.0	13.8	1.0	91.0	1996.0
284	1085000.0	11.1	6.0	251.0	1965.0
285	781000.0	11.1	2.0	117.0	1970.0
289	421000.0	11.1	1.0	77.0	2009.0
292	683000.0	11.1	2.0	167.0	1967.0
295	720000.0	11.1	1.0	130.0	2012.0
299	588000.0	11.1	1.0	118.0	1970.0
301	710000.0	11.1	3.0	116.0	1960.0
306	875000.0	11.1	4.0	169.0	1965.0
321	675000.0	11.1	2.0	109.0	2012.0
322	708000.0	11.1	2.0	97.0	1960.0
339	693000.0	11.1	4.0	170.0	2008.0
340	620000.0	11.1	2.0	100.0	2010.0
342	728500.0	11.1	1.0	157.0	1960.0
343	931000.0	11.1	1.0	160.0	1950.0
349	815000.0	11.1	3.0	130.0	1960.0
356	1200000.0	11.1	4.0	158.0	1960.0
361	292000.0	11.1	1.0	70.0	1970.0
365	599000.0	6.3	1.0	76.0	1964.0
367	995000.0	6.3	2.0	100.0	1998.0
368	1205000.0	6.3	2.0	105.0	2000.0
371	1939000.0	6.3	2.0	150.0	1889.0
375	1870000.0	6.3	1.0	116.0	1888.0
380	1918000.0	6.3	2.0	165.0	1995.0
383	2050000.0	6.3	1.0	116.0	1910.0
392	735000.0	6.3	1.0	14.0	1970.0
400	1435000.0	6.3	1.0	107.0	1900.0
402	280000.0	6.3	1.0	38.0	1975.0
407	592500.0	6.3	1.0	73.0	1970.0
409	1210000.0	6.3	0.0	96.0	1910.0
410	2801000.0	6.3	2.0	222.0	1900.0
416	1800000.0	6.3	2.0	121.0	1910.0
418	2200000.0	6.3	2.0	163.0	1900.0
426	5525000.0	6.3	4.0	516.0	1935.0
432	440000.0	6.3	1.0	53.0	1970.0
438	1300000.0	6.3	2.0	106.0	1900.0
441	704000.0	6.3	1.0	74.0	1969.0
444	620000.0	6.3	1.0	98.0	1970.0
445	1900000.0	6.3	2.0	108.0	1900.0
453	710000.0	6.3	1.0	80.0	1970.0
455	598000.0	6.3	1.0	88.0	1970.0
457	1285000.0	6.3	2.0	80.0	1920.0
461	520000.0	6.3	1.0	76.0	1970.0
465	3625000.0	6.3	2.0	251.0	1900.0
466	4200000.0	6.3	3.0	333.0	2000.0
467	1101000.0	6.3	2.0	3.0	2000.0
468	3512500.0	6.3	2.0	285.0	1998.0
473	869000.0	6.3	1.0	91.0	1940.0
480	567000.0	6.3	1.0	53.0	2013.0
486	940000.0	5.9	2.0	108.0	1920.0
487	467000.0	5.9	1.0	62.0	1980.0
490	1380000.0	5.9	2.0	174.0	1910.0
491	490000.0	5.9	1.0	62.0	1970.0
492	1850000.0	5.9	1.0	270.0	1900.0
494	971000.0	5.9	2.0	128.0	1900.0
495	710000.0	5.9	1.0	77.0	1890.0
496	2425000.0	5.9	2.0	435.0	1887.0
497	750000.0	5.9	1.0	92.0	1920.0
499	1053000.0	5.9	1.0	109.0	1900.0
500	1377000.0	5.9	1.0	168.0	1900.0
501	970000.0	5.9	2.0	125.0	1904.0
503	751000.0	5.9	1.0	79.0	1890.0
504	950000.0	5.9	1.0	102.0	1900.0
506	685000.0	5.9	2.0	90.0	1995.0
508	1230000.0	5.9	2.0	148.0	1960.0
512	770000.0	5.9	1.0	87.0	1900.0
515	890000.0	5.9	1.0	185.0	1890.0
519	1440000.0	5.9	1.0	131.0	1900.0
525	1000000.0	5.9	2.0	120.0	1955.0
526	1435000.0	5.9	2.0	147.0	1950.0
527	390000.0	5.9	1.0	58.0	1972.0
528	1425000.0	5.9	2.0	139.0	1920.0
530	1340000.0	5.9	2.0	232.0	1978.0
531	955000.0	5.9	1.0	117.0	1910.0
533	1100000.0	5.9	5.0	195.0	1920.0
536	432000.0	5.9	1.0	62.0	1978.0
537	1640000.0	5.9	2.0	204.0	1890.0
538	1430000.0	5.9	1.0	286.0	1900.0
539	610000.0	5.9	1.0	104.0	1995.0
540	940000.0	5.9	1.0	127.0	1950.0
541	890000.0	5.9	1.0	110.0	1920.0
543	1180000.0	5.9	2.0	149.0	1930.0
544	1480000.0	5.9	2.0	180.0	1939.0
548	865000.0	5.9	1.0	132.0	2015.0
550	442000.0	5.9	1.0	62.0	1975.0
552	1037500.0	5.9	2.0	110.0	1920.0
553	1050000.0	5.9	2.0	160.0	2013.0
555	440000.0	5.9	1.0	65.0	1970.0
557	1430000.0	5.9	0.0	158.0	1900.0
564	1130000.0	5.9	1.0	157.0	1900.0
565	1135000.0	5.9	1.0	104.0	1910.0
566	950000.0	5.9	1.0	147.0	1920.0
569	390000.0	5.9	1.0	69.0	2012.0
570	1345000.0	5.9	1.0	155.0	1920.0
572	1381500.0	5.9	2.0	168.0	1900.0
573	940000.0	5.9	2.0	172.0	2011.0
574	995000.0	5.9	1.0	177.0	2010.0
576	786000.0	5.9	1.0	120.0	1940.0
577	705000.0	5.9	3.0	108.0	1910.0
579	760000.0	5.9	1.0	77.0	1900.0
582	1000000.0	5.9	2.0	144.0	2003.0
587	1305000.0	5.9	1.0	166.0	1900.0
590	1215000.0	5.9	1.0	175.0	1960.0
591	545000.0	5.9	2.0	71.0	1900.0
594	1705000.0	5.9	4.0	273.0	2012.0
597	2650000.0	11.0	2.0	399.0	2015.0
599	1670000.0	11.0	2.0	220.0	1930.0
601	2050000.0	11.0	4.0	315.0	2014.0
607	1555000.0	11.0	2.0	149.0	1935.0
614	1100000.0	11.0	2.0	178.0	2004.0
615	1337000.0	11.0	2.0	112.0	1950.0
616	2950000.0	11.0	4.0	618.0	2009.0
619	1518000.0	11.0	2.0	145.0	1920.0
620	1710000.0	11.0	2.0	101.0	1950.0
623	1655000.0	11.0	3.0	152.0	1940.0
628	1550000.0	11.0	2.0	180.0	1938.0
630	1662000.0	11.0	2.0	228.0	2006.0
632	1665000.0	11.0	3.0	145.0	1945.0
642	3510000.0	11.0	2.0	444.0	2015.0
646	900000.0	11.0	2.0	110.0	1990.0
650	2752000.0	11.0	2.0	390.0	2010.0
654	1500000.0	11.0	2.0	139.0	1945.0
659	1800000.0	11.0	4.0	206.0	1950.0
663	1830000.0	11.0	3.0	168.0	1940.0
665	1415000.0	11.0	1.0	111.0	1950.0
666	1440000.0	11.0	1.0	104.0	1940.0
667	1250000.0	11.0	2.0	199.0	2007.0
669	1600000.0	11.0	4.0	266.0	1950.0
670	1860000.0	11.0	3.0	274.0	2000.0
673	1790000.0	11.0	2.0	240.0	1935.0
674	1950000.0	11.0	2.0	278.0	1940.0
677	1650000.0	11.0	1.0	164.0	1947.0
685	1200000.0	12.2	2.0	201.0	2016.0
686	1075000.0	12.2	2.0	114.0	1950.0
688	1500000.0	12.2	2.0	203.0	2000.0
690	700000.0	12.2	2.0	110.0	1970.0
691	761000.0	12.2	4.0	94.0	1950.0
694	1365000.0	12.2	1.0	792.0	1950.0
695	1100000.0	12.2	2.0	152.0	1970.0
702	690000.0	12.2	1.0	90.0	2003.0
703	1631000.0	12.2	3.0	215.0	1950.0
705	1500000.0	12.2	1.0	255.0	1930.0
710	1529500.0	12.2	2.0	317.0	2000.0
714	600000.0	12.2	1.0	80.0	1970.0
722	1240000.0	12.2	2.0	192.0	1950.0
724	700000.0	12.2	2.0	88.0	2007.0
730	1110000.0	12.2	1.0	86.0	1950.0
731	1305000.0	12.2	1.0	120.0	1960.0
733	855000.0	12.2	1.0	85.0	1958.0
739	900500.0	12.2	2.0	134.0	2012.0
743	1200000.0	12.2	2.0	198.0	1970.0
745	830000.0	12.2	2.0	130.0	2012.0
748	850000.0	10.5	1.0	118.0	1970.0
749	750000.0	10.5	1.0	103.0	1980.0
750	851000.0	10.5	1.0	181.0	2017.0
754	1155000.0	10.5	2.0	225.0	2008.0
760	680000.0	10.5	2.0	120.0	1970.0
765	627500.0	10.5	1.0	143.0	1970.0
769	950000.0	10.5	3.0	281.0	1970.0
789	705000.0	10.5	1.0	106.0	1960.0
790	1100000.0	10.5	2.0	395.0	1992.0
792	892500.0	10.5	1.0	118.0	1965.0
797	522500.0	10.5	1.0	101.0	1995.0
799	680000.0	10.5	2.0	140.0	1960.0
803	875000.0	10.5	3.0	117.0	1960.0
807	762000.0	10.5	2.0	150.0	1961.0
812	411000.0	10.5	1.0	85.0	1995.0
815	805000.0	10.5	2.0	103.0	1970.0
818	634000.0	10.5	1.0	153.0	1950.0
823	1819000.0	6.6	1.0	180.0	1900.0
824	410000.0	6.6	2.0	61.0	1965.0
827	1015000.0	6.6	2.0	120.0	2000.0
831	502500.0	6.6	1.0	65.0	1960.0
832	520000.0	6.6	0.0	58.0	1970.0
833	442000.0	6.6	1.0	61.0	1960.0
835	1193000.0	6.6	1.0	100.0	1920.0
836	416000.0	6.6	1.0	49.0	1960.0
838	474000.0	6.6	1.0	59.0	1970.0
839	981000.0	6.6	0.0	84.0	1930.0
840	1690000.0	6.6	2.0	159.0	1890.0
842	540000.0	6.6	1.0	51.0	1970.0
847	2100000.0	9.7	1.0	123.0	1920.0
848	1800000.0	9.7	2.0	218.0	1985.0
849	1255000.0	9.7	1.0	129.0	2000.0
850	1070000.0	9.7	2.0	112.0	1998.0
853	2570000.0	9.7	2.0	420.0	2009.0
854	2400000.0	9.7	2.0	226.0	1985.0
857	806000.0	9.7	1.0	97.0	1977.0
858	4000000.0	9.7	7.0	449.0	1935.0
860	2250000.0	9.7	2.0	356.0	2006.0
869	2800000.0	9.7	2.0	349.0	2001.0
874	1850000.0	9.7	1.0	166.0	1930.0
881	700000.0	9.7	1.0	110.0	1970.0
883	500000.0	9.7	1.0	72.0	1960.0
884	2125000.0	9.7	2.0	252.0	1985.0
888	1800000.0	9.7	2.0	200.0	1948.0
890	635000.0	9.7	1.0	70.0	2014.0
895	526000.0	9.7	1.0	73.0	1960.0
899	905000.0	9.7	2.0	150.0	1995.0
900	1750000.0	9.7	2.0	308.0	2016.0
901	760000.0	9.7	1.0	100.0	1960.0
904	1367000.0	9.7	2.0	164.0	2003.0
910	1400000.0	9.7	2.0	240.0	2009.0
913	3270000.0	9.7	4.0	241.0	1927.0
916	625000.0	9.7	1.0	104.0	1960.0
924	2730000.0	9.7	2.0	336.0	1997.0
930	460000.0	9.7	1.0	79.0	1950.0
932	1053000.0	9.7	2.0	98.0	1985.0
935	1472000.0	9.7	2.0	170.0	1995.0
940	754000.0	9.7	1.0	88.0	1990.0
954	2188000.0	9.7	2.0	253.0	1981.0
955	755000.0	9.7	1.0	92.0	1980.0
961	3290000.0	9.7	2.0	350.0	1910.0
968	2410000.0	9.7	1.0	207.0	1940.0
969	650000.0	9.7	1.0	150.0	1960.0
981	2000000.0	9.7	2.0	291.0	1930.0
982	1900000.0	9.7	1.0	155.0	1940.0
985	3401000.0	9.7	1.0	166.0	1930.0
987	1750000.0	9.7	3.0	193.0	1943.0
995	3020000.0	9.7	2.0	420.0	2009.0
998	2450000.0	9.7	2.0	260.0	1960.0
1001	730000.0	9.7	1.0	80.0	1960.0
1005	1500000.0	9.7	2.0	190.0	2011.0
1008	1700000.0	9.7	1.0	115.0	1935.0
1010	1315000.0	9.2	2.0	167.0	2000.0
1011	1500000.0	9.2	1.0	154.0	1950.0
1012	3230000.0	9.2	3.0	275.0	1960.0
1017	1905000.0	9.2	2.0	185.0	1955.0
1018	3300000.0	9.2	2.0	477.0	2015.0
1019	1900000.0	9.2	2.0	215.0	1955.0
1020	2251000.0	9.2	2.0	137.0	1950.0
1024	2205000.0	9.2	2.0	214.0	1950.0
1025	1265000.0	9.2	1.0	160.0	2011.0
1029	1750000.0	9.2	2.0	185.0	1960.0
1030	1450000.0	9.2	2.0	124.0	1950.0
